Percentage served,Time in ms
0,23.995
1,42.570
2,43.123
3,44.073
4,44.526
5,44.984
6,45.203
7,45.490
8,45.682
9,45.765
10,45.821
11,45.949
12,46.055
13,46.219
14,46.294
15,46.396
16,46.449
17,46.547
18,46.624
19,46.674
20,46.795
21,46.849
22,46.895
23,46.938
24,46.995
25,47.034
26,47.122
27,47.175
28,47.283
29,47.398
30,47.516
31,47.564
32,47.631
33,47.697
34,47.750
35,47.810
36,47.892
37,47.940
38,47.978
39,48.079
40,48.145
41,48.210
42,48.268
43,48.328
44,48.374
45,48.485
46,48.546
47,48.614
48,48.682
49,48.788
50,48.836
51,48.880
52,48.965
53,49.033
54,49.131
55,49.218
56,49.323
57,49.378
58,49.453
59,49.520
60,49.579
61,49.660
62,49.734
63,49.868
64,49.932
65,49.996
66,50.093
67,50.228
68,50.363
69,50.438
70,50.512
71,50.703
72,50.820
73,50.964
74,51.044
75,51.099
76,51.254
77,51.397
78,51.517
79,51.786
80,51.893
81,52.057
82,52.194
83,52.576
84,53.184
85,53.699
86,54.598
87,55.592
88,56.186
89,57.585
90,58.733
91,59.554
92,60.399
93,60.953
94,61.902
95,62.442
96,63.684
97,65.152
98,69.979
99,85.154
100,197.212
