starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 17 18:22:10 2015	1447764730	0	31	31	31
Tue Nov 17 18:22:27 2015	1447764747	0	32	32	32
Tue Nov 17 18:22:14 2015	1447764734	0	47	47	47
Tue Nov 17 18:22:24 2015	1447764744	0	48	48	47
Tue Nov 17 18:22:26 2015	1447764746	0	48	48	48
Tue Nov 17 18:22:19 2015	1447764739	0	49	49	48
Tue Nov 17 18:22:32 2015	1447764752	0	49	49	49
Tue Nov 17 18:22:20 2015	1447764740	0	50	50	49
Tue Nov 17 18:22:17 2015	1447764737	0	50	50	50
Tue Nov 17 18:22:10 2015	1447764730	0	51	51	51
Tue Nov 17 18:22:13 2015	1447764733	0	52	52	52
Tue Nov 17 18:22:08 2015	1447764728	0	52	52	52
Tue Nov 17 18:22:04 2015	1447764724	0	52	52	52
Tue Nov 17 18:22:18 2015	1447764738	0	53	53	52
Tue Nov 17 18:22:08 2015	1447764728	0	53	53	53
Tue Nov 17 18:22:22 2015	1447764742	0	53	53	52
Tue Nov 17 18:22:13 2015	1447764733	0	53	53	52
Tue Nov 17 18:22:07 2015	1447764727	0	53	53	53
Tue Nov 17 18:22:23 2015	1447764743	0	53	53	53
Tue Nov 17 18:22:31 2015	1447764751	0	53	53	53
Tue Nov 17 18:22:23 2015	1447764743	0	53	53	53
Tue Nov 17 18:22:11 2015	1447764731	0	53	53	53
Tue Nov 17 18:22:13 2015	1447764733	0	53	53	53
Tue Nov 17 18:22:02 2015	1447764722	0	53	53	53
Tue Nov 17 18:22:25 2015	1447764745	0	53	53	53
Tue Nov 17 18:22:14 2015	1447764734	0	53	53	53
Tue Nov 17 18:22:23 2015	1447764743	0	54	54	53
Tue Nov 17 18:22:13 2015	1447764733	0	54	54	54
Tue Nov 17 18:22:12 2015	1447764732	0	54	54	54
Tue Nov 17 18:22:09 2015	1447764729	0	54	54	54
Tue Nov 17 18:22:05 2015	1447764725	0	54	54	54
Tue Nov 17 18:22:12 2015	1447764732	0	54	54	54
Tue Nov 17 18:22:27 2015	1447764747	0	54	54	54
Tue Nov 17 18:22:03 2015	1447764723	0	54	54	54
Tue Nov 17 18:22:12 2015	1447764732	0	55	55	54
Tue Nov 17 18:22:15 2015	1447764735	0	55	55	54
Tue Nov 17 18:22:10 2015	1447764730	0	55	55	54
Tue Nov 17 18:22:04 2015	1447764724	0	55	55	55
Tue Nov 17 18:22:22 2015	1447764742	0	55	55	54
Tue Nov 17 18:22:20 2015	1447764740	0	55	55	55
Tue Nov 17 18:22:06 2015	1447764726	0	55	55	55
Tue Nov 17 18:22:08 2015	1447764728	0	55	55	55
Tue Nov 17 18:22:26 2015	1447764746	0	56	56	55
Tue Nov 17 18:22:18 2015	1447764738	0	56	56	55
Tue Nov 17 18:22:31 2015	1447764751	0	56	56	55
Tue Nov 17 18:22:32 2015	1447764752	0	56	56	56
Tue Nov 17 18:22:32 2015	1447764752	0	56	56	56
